id,question,answer
13054,"Let $(X_1,d_1)$ and $(X_2,d_2)$ be metric spaces. Suppose $f:X_1\to X_2$ satisfies the property that for all $E\subseteq X_1$, $f(E)$ is compact if and only if $E$ is compact. Determine whether $f$ must be continuous.",Yes
13055,"Calculate the expected value of \( \Phi\left(\frac{W_{t+a}}{\sqrt{2+t}}\right) \), where \( W_t \) is a standard Brownian motion and \( \Phi \) is the cumulative distribution function of the standard normal distribution.",\dfrac{1}{2}
13056,Determine the Galois group of the polynomial $x^6 - 2$ over the field of rational numbers $\Bbb Q$. Provide your answer in terms of its structure or order.,D_6
13057,"Determine if there exists an entire function $g(z)$ such that $g(1/n) = \frac{1}{n^2}$ for all positive integers $n$. If such a function exists, find $g'(0)$.",0
13058,"Let $E \subseteq \mathbb{R}^n$ be an open subset. Let $f:E \to \mathbb{R}$ be a differentiable function, and suppose that $\nabla f$ is uniformly continuous. Determine whether $f$ is uniformly differentiable. Specifically, does there exist, for any $\epsilon >0$, a $\delta > 0$ such that for all $a,x \in \mathbb{R}^n$,

$$\frac{|f(x) - f(a) - \nabla f (a)\cdot (x-a)|}{|x-a|} <\epsilon$$

whenever $|x-a|<\delta$?",Yes
13059,Evaluate the limit: \[ \lim_{N\to\infty} \frac{\ln^2 N}{N}\sum_{k=2}^{N-2} \frac{1}{\ln k \cdot \ln (N-k)} \] where \(\ln\) denotes the natural logarithm.,1
13060,"Find all functions \( f : (0, \infty) \to (0, \infty) \) such that for all \( x, y, z > 0 \) with \( xyz = 1 \), the equation \[ f\left(x + \frac{1}{y}\right) + f\left(y + \frac{1}{z}\right) + f\left(z + \frac{1}{x}\right) = 1 \] holds.",\dfrac{1}{3}
13061,"Determine whether the following statement is true or false:

For each $p \in (1,\infty) \cup \{\infty\}$ and $k \in \mathbb{N}$, there exists a continuous function $f_k : [0,1] \to \mathbb{R}$ such that:

1. $\|f_k\|_1 = 1$,
2. $\displaystyle\lim_{k \to \infty} \|f_k\|_p = \infty$.

Here, $\|f_k\|_p$ denotes the $p$-norm of $f_k$. Provide a justification for your answer.",True
13062,"Determine whether the function \( f(x) = \frac{1}{\sqrt{x(1-x)}} \) is Lebesgue-integrable on the interval \((0,1)\), and if so, compute its integral.",\pi
13063,Evaluate the limit: \[ \lim_{n \to \infty} \sum_{j=0}^{n} \sum_{i=0}^j \frac{i^2+j^2}{n^4+ijn^2} \],\dfrac{1}{4}
13064,"Determine whether the following statement is true or false: If \( \alpha < \frac{1}{3} \), then \[ \prod_{n=1}^{\infty}(1-\alpha^n) = \frac{1-3\alpha}{1-2\alpha}. \]",False
13065,"For two finite groups $G$ and $H$ with equal sets of conjugacy class sizes, must one of the groups be non-abelian and simple? Answer yes or no.",No
13066,"Determine whether the following statement is true: Given two rings $R$ and $S$, and a principal ideal $((a,b)) = I \in R \times S$ where $(a,b) \in R \times S$, is it true that $(R \times S) / ((a,b)) \cong R/(a) \times S/(b)$?",True
13067,Let $K(X)$ be the field of rational functions of $X$ over some field $K$. Define the $K$-morphism $\phi: K(X) \rightarrow K(X)$ by $\phi(X) = 1 - X$. Determine an element $Y \in K(X)$ such that $K(Y) = \{ f \in K(X) : \phi(f) = f \}$.,X(1 - X)
13068,"Evaluate the integral \( \int_0^1 \frac{\sin^{-1}(\sqrt{x})}{\sqrt{1-x}} \, dx \).",2
13069,Show that the derivative of the function \( f(M) = \text{Tr}(M \log M - M) \) with respect to the positive definite matrix \( M \) is \( \log M \).,\log M
13070,"Evaluate the integral \( \int_0^{2\pi} e^{e^{i\theta}} \, d\theta \) using complex analysis techniques.",2\pi
13071,"Consider separable Banach spaces $(E, \lVert \cdot \rVert_E)$ and $(F, \lVert \cdot \rVert_F)$ with their respective sigma algebras $\mathcal{F}$ and $\mathcal{G}$, generated by the open sets of $E$ and $F$. Let $A: D(A) \to F$ be a closed operator, where $D(A)$ is a subspace of $E$ and $\mathcal{F}|_{D(A)}$ is the restriction of $\mathcal{F}$ to $D(A)$. If $D(A) \in \mathcal{F}$, determine whether the map $A: (D(A), \mathcal{F}|_{D(A)}) \to (F, \mathcal{G})$ is necessarily measurable.",Yes
13072,Determine whether there exist integer functions \(f(n)\) and \(g(n)\) such that \(\lim_{n \to \infty} f(n)\zeta(2) + g(n) = 0\) and \(f(n)\zeta(2) + g(n) \neq 0\) for all positive integers \(n\).,Yes
13073,"Let $R$ be an integral domain and $F$ its field of fractions. If $M$ is a finitely generated $F$-module, is $M$ also a finitely generated $R$-module? Provide a justification for your answer.",No
13074,"For any real number \( t \) between -1 and 1, does there exist an infinite sequence of positive integers \( x_n \) such that \( \lim_{n \to \infty} \sin(x_n) = t \)?",Yes
13075,"Given a sequence of random variables $X_n$ and two nested $\\sigma$-fields $\\mathcal{F}_n \\subseteq \\mathcal{F}_n'$, if $\\mathbb{E}[X_n \\mid \\mathcal{F}_n']$ converges to a constant $c$ in probability, does $\\mathbb{E}[X_n \\mid \\mathcal{F}_n]$ also converge to $c$ in probability?",No
13076,"Let $n, m,$ and $t$ be positive integers. Define the multi-family of sequences
\[ S(n,m,t)=\sum_{k_1+\cdots+k_n=m}\binom{m}{k_1,\dots,k_n}^t \]
where the sum runs over non-negative integers $k_1,\dots,k_n$. Is it always true that $n$ divides $S(n,m,t)$?",Yes
13077,"Given a function $f : (0,\infty) \to \mathbb{R}$ that is locally $H^1$ and satisfies \(\int_0^\infty (|f'(t)|^2 + |f(t)|^2) e^{-t} dt < \infty\), determine whether it follows that \(\lim_{t \to \infty} e^{-t} |f(t)|^2 = 0\).",0
13078,"Find the value of \( R \in \mathbb{R} \) that maximizes the flux of the vector field \( F(x,y,z) = (xz - x\cos(z), -yz + y\cos(z), -4 - (x^2 + y^2)) \) over the surface \( S_R = \{ x^2 + y^2 + z^2 = R^2 , z \geq 0 \} \).",0
13079,"Determine whether the infinite product \( P = \prod_{k=1}^{\infty} \left(1+\frac{A}{3^{m/2}(3^{k}s)^{b / 2}}\right) \) converges, given that \( A > 0 \), and \( m \), \( b \), and \( s \) are constants.",b > 0
13080,"Let $(G,+)$ be an Abelian topological group, and let $V$ be an open connected neighborhood of zero in $G$. A subset $A$ of $G$ is called convex if for each $x \in G$, the condition $2x \in A + A$ implies that $x \in A$. Does there exist an open convex neighborhood of zero $W$ such that $W \subset V$?",Yes
13081,"Given that \(3f(x) = 3x^4 + x^3 + 3x^2\), evaluate \(\lim\limits_{a \to \infty} \int\limits_{2a}^{8a} \frac{1}{(f^{-1}(x))^2 + (f^{-1}(x))^4} \, dx = \ln(n)\). Find the value of \(n\).",4
13082,"Let $X$ be a Banach space, and consider a bounded operator $T: X \to X$. If there exists an integer $n \in \mathbb{N}$ such that $T^{n+1}(X) = T^n(X)$, is $T^n(X)$ necessarily closed? Provide a justification for your answer.",Yes
13083,"Evaluate the contour integral \( \oint_{\gamma} \tanh(z) \, dz \) where \( \gamma \) is the circle defined by \( |z - \frac{\pi}{4}i| = \frac{1}{2} \).",0
13084,Find all functions \( f: \mathbb{R} \rightarrow \mathbb{R} \) such that \( f(x^2 + f(y)) = f(xy) \) for all real numbers \( x \) and \( y \).,f(x) = c
13085,"Let X be a compact metric space, and let V and W be open subsets of X. Suppose there is a homeomorphism from V to W. Let B be a countable basis for X, and let B(V) and B(W) be the relativized bases for V and W, respectively. Are B(V) and B(W) order isomorphic under the subset order?",Yes
13086,Determine the number of points on the elliptic curve given by \(x^3 + x + 1 = y^2\) over the finite field \(\mathbb{F}_{125}\).,108
13087,Let $S$ be a semisimple linear algebraic group over a field $K$ of characteristic $0$. Let $H$ be a closed subgroup of $S$ over $K$. Is $H$ necessarily semisimple? Answer yes or no and justify your answer.,No
13088,"If \( S \) is a regular and compact surface, does \( S \) have a finite number of connected components? Provide a justification for your answer.",Yes
13089,"Given a bounded Lipschitz domain $\Omega \subset \mathbb{R}^n$ and a function $v \in H^1_0(\Omega)$ such that $|v(x)| \leq 1$ almost everywhere in $\Omega$, determine if there exists a sequence of functions $(v_j)_{j \in \mathbb{N}} \subset \mathcal{C}^\infty_0(\Omega)$ that approximates $v$ in $H^1(\Omega)$ and satisfies $|v_j(x)| \leq 2$ for almost every $x \in \Omega$. Provide a justification for your answer.",Yes
13090,"Let \( R = \{a_0 + a_1X + \ldots + a_nX^n \mid a_1, \ldots, a_n \in \mathbb{Q}, a_0 \in \mathbb{Z}, n \in \mathbb{Z}_{\geq 0} \} \) and \( I = \{a_1X + \ldots + a_nX^n \mid a_1, \ldots, a_n \in \mathbb{Q}, n \in \mathbb{Z}^{+} \} \). Prove that \( I \) is not finitely generated as an \( R \)-module.",I
13091,Determine the value of \( m \) such that \( \lim\limits_{n\rightarrow\infty}\prod_{k=3}^n\left(1-\tan^4\frac{\pi}{2^k}\right)=\frac{\pi^3}{m} \).,32
13092,Show that the set \( F = \{ f \in \mathbb{N}^{\mathbb{N}}: \ \forall n \in \mathbb{N} \ f(2n)=n \} \) has the cardinality of the continuum.,\mathfrak{c}
13093,"Consider the linear solution $u(x,t) = e^{it\partial_x^2}u_0$ of the partial differential equation:

$$i\partial_t u + \partial_x^2 u = 0$$

with the initial condition $u(x,0) = u_0$. Given $u_0 \in L^2(\mathbb{T})$, where $\mathbb{T}$ is the one-dimensional torus, and $\varepsilon > 0$, define $u_\varepsilon = \frac{e^{i\varepsilon \partial_x^2}u_0 - u_0}{\varepsilon}$. Determine if $u_\varepsilon$ is bounded uniformly on $H^{-2}(\mathbb{T})$ as $\varepsilon \to 0$. Provide a yes or no answer.",Yes
13094,Is it possible to construct an open set with measure less than a given positive real number that contains the Cantor set?,Yes
13095,"Verify the asymptotic approximation \(\int^{1}_{0}t^{-\frac{1}{2}} \cos(t) e^{-xt^{\frac{1}{2}}} \, dt \sim \frac{2}{x}\) as \(x \rightarrow \infty\) using Watson's Lemma or another suitable method.",\dfrac{2}{x}
13096,"Evaluate the limit \( \lim_{x \to \infty} x^q \mathbb{P}(\left\lvert Z\right\rvert > x) \) using integration, where \( Z \) is a random variable.",0
13097,Determine how the prime number 2 splits in the splitting field of the polynomial \(X^3 - 3X + 1 = 0\).,(2)
13098,"Determine the dimension of the vector space \( \mathbb{C}[[x,y]]/(2xy-y^2,x^2-2xy) \).",4
13099,"Determine the conditions on the function $a(t)$ such that the stochastic process $X(t)$, defined by the differential equation \( dX = a(t)Xdt + b(t)XdW(t) \), is a $P$-martingale, where $b(t)$ is non-zero almost surely and $W(t)$ is a Wiener process.",a(t) = 0
13100,"Let $f$ be a holomorphic function on $|z|>R$ for some large $R>0$. Suppose there exist $r_2>r_1>R$ such that $|f(z)|$ achieves its maximum value on the circles $|z|=r_1$ and $|z|=r_2$. If $\lim_{z\to\infty}f(z)$ exists and is finite, is $f$ necessarily constant? Provide a justification for your answer.",Yes
13101,Evaluate the integral: \[ \int_0^1 \sqrt{\frac{\left\{\frac{1}{x}\right\}}{1-\left\{\frac{1}{x}\right\}}}\frac{\mathrm{d}x}{1-x} \],\pi
13102,"What is the theoretical maximum average compression rate of a reversible function applied to a random bit sequence, given that the function satisfies f'(f(s)) = s?",1
13103,Evaluate the limit: $$\lim_{x \to 0}\lim_{n \to \infty} \frac{n}{\left(1^{\left(\cot^2x \right)}+2^{\left(\cot^2x \right)}+\ldots+n^{\left(\cot^2x \right)}\right)^{\left(\tan^2x \right)}}$$,0
13104,"Determine the norm of the operator \(A\) in the \(\ell^1\) space, where \(A(x_n)_n = \left(\sum_{k=0}^\infty \frac{a^k}{k!} x_{n+k} \right)_n\), \((x_n)_{n\ge 1}\) is a real absolutely summable sequence, \(a > 0\) is a constant, and the norm \(\| \cdot \|\) is defined as \(\| (x_n)_n \| = \sum_{n=1}^\infty |x_n|\).",e^a
13105,"Given an open interval $(a, b) \subseteq \mathbb{R}$ and a Lebesgue measurable function $r : (a, b) \to \mathbb{R}$ that is positive almost everywhere, determine if there must exist $k \in \mathbb{N}$ and $a < c < d < b$ such that $r(x) > \frac{1}{k}$ for almost all $x \in (c, d)$. Answer with ""Yes"" or ""No"".",No
13106,Let $H$ be a proper subgroup of a finite group $G$. Is there a positive integer $n$ such that there exists a homomorphism $f: G \to S_n$ with $f(G)$ transitive and $f(H)$ not transitive?,Yes
13107,"If $f$ is $\mathbb{R}^2$-differentiable and the limit $\lim\limits_{h \to 0} \Re\left(\frac{f(z+h)-f(z)}{h}\right)$ exists, does this imply that $f$ is holomorphic on a domain $D \subset \mathbb{C}$?",Yes
13108,"For any positive integer $n$, let $S_n$ denote the set of positive integers that cannot be expressed in the form $an + 2017b$ for nonnegative integers $a$ and $b$. Define $A_n$ as the average of the elements of $S_n$ if $S_n$ is non-empty and finite, and $0$ otherwise. Compute \[ \left\lfloor \sum_{n=1}^{\infty} \frac{A_n}{2^n} \right\rfloor. \]",1007
13109,"Determine the minimum cardinality of subset $A$ in a set of $n^2$ bins, partitioned into two non-empty subsets $A$ and $B$, such that when balls are thrown independently and uniformly at random into the bins until $\\log(n)$ balls are placed in bins belonging to $A$, the total number of balls thrown $m$ satisfies $$\frac{m}{\log n}=\Theta\left(\frac{n^2}{|A|}\right)$$ with high probability as $n$ approaches infinity.",1
13110,"Does there exist a function \( f: \mathbb{R} \to \mathbb{R} \) that satisfies the following properties? 
1) \( f(\mathbb{R}) = \mathbb{R} \)
2) \( f \) is everywhere discontinuous
3) \( \mathbb{Q} \subseteq f(\mathbb{I}) \)
4) \( f(\mathbb{Q}) \subset \mathbb{I} \)",Yes
13111,"Suppose $A(t)$ is a family of symmetric matrices smoothly depending on $t \in [0,1]$. Assume that $A(t)$ is null positive definite for all $t \in (0,t_0)$, and that $A(t_0)$ is null semi-positive definite but not null positive definite. Does there exist a null vector $v$ such that $A(t_0) v = 0$?",Yes
13112,"Let $M$ be a von Neumann subalgebra of $B(H)$. Let $f$ and $g$ be normal functionals on $B(H)$ and $M$, respectively, such that the restriction of $f$ to $M$ is $g$, i.e., $f_{|_{M}} = g$. Define the positive linear functional $\phi: M \to \mathbb{C}$ by $\phi(x) = |f|(x)$, where $|f|$ is the absolute value of the normal functional $f$. Can we conclude that $|g| \leq \phi$?",Yes
13113,"In a simple graph $G$ with $mn$ vertices, if each vertex has a degree greater than $m(n-1)$, does $G$ necessarily contain a $K_{n+1}$ subgraph? Answer 'yes' or 'no' and justify your answer.",yes
13114,"Calculate the Euler Characteristic of the submanifold $M$ in $\mathbb{R}^4$ defined by the equations: $$M = \{(x,y,z,w) \mid 2x^2+2 = z^2+w^2, \ 3x^2+y^2 = z^2+w^2 \}.$$",0
13115,"For a strictly decreasing function $f: \mathbb{R} \to \mathbb{R}$ that satisfies the functional equation $$f(x+y) + f(f(x) + f(y)) = f(f(x+f(y)) + f(y+f(x))), \quad \forall x, y \in \mathbb{R},$$ determine the relationship between $f(f(x))$ and $x$.",f(f(x)) = x
13116,Calculate the volume of the region bounded by the equation \((x^2 + y^2 + z^2)^2 = x\).,\dfrac{\pi}{3}
13117,"Let $\{x_m\}_{m \in \mathbb{N}}$ be a sequence in $\ell^2$ such that $x_m \to x$. Let $x_{m,n}$ be the $n$th term in the sequence $x_m$ and $x_n$ be the $n$th term in the sequence $x$. For a fixed integer $\lambda \in \mathbb{N}$, determine if the following is true:
\[
\lim_{m \to \infty}
\sqrt{
\sum_{n=\lambda+1}^\infty
|x_{m,n-1}|^2
}
=
\sqrt{
\sum_{n=\lambda+1}^\infty
|x_{n-1}|^2
}
\]",True
13118,"Determine whether there exists a unique function \( f \in C([0, 1]) \) such that for all \( x \in [0, 1] \), the equation \[ f(x) = \int_0^x K(x, y)\,f(y)\,dy + g(x) \] holds, given that \( K \in C([0, 1] \times [0, 1]) \) and \( g \in C([0, 1]) \).",Yes
13119,"Determine whether the following statement is true: A topological space $X$ is KC if and only if every compact subset of $X$ is KC. Specifically, is it true that if every compact subset of $X$ is KC, then $X$ is KC?",True
13120,"Determine whether there exist 2018 positive irreducible fractions, each with a different denominator, such that the denominator of the difference of any two (after reducing the fraction) is less than the denominator of any of the initial 2018 fractions.",No
13121,"Calculate the integral \( \int_E 1 \, d\lambda \) for the set \( E := \{(x,y,z) \in \mathbb{R}^3 : (x-z)^2 + (y-e^z)^2 \leq 3\sin(\pi z), \; z \in [0,1]\} \).",6
13122,"Consider a field extension $K/k$ that is Galois. If $k \subset F \subset K$, is the extension $K/F$ also Galois?",Yes
13123,Does there exist a unitary matrix $U$ in $M_{n}(\mathbb{C})$ but not in $D_{n}$ such that $UD_{n}U^{*}= D_{n}$?,Yes
13124,"Suppose $X$ and $Y$ are independent random variables following a standard Gaussian distribution, i.e., $X,Y \sim N(0,1)$. The ratio $Z = \frac{X}{Y}$ is known to have a Cauchy distribution. Determine whether the conditional expectation $E[Z|Y]$ exists, and if it does, find its value.",0
13125,"Let \( A = (a_{ij})_{i,j=1,\dots,n} \) be a matrix such that \( a_{ij} \ge 0 \) for all \( i,j = 1, \dots, n \), and \( A \) is positive definite. Let \( I \) be the identity matrix, and \( \pmb{1} \) the vector containing only ones. Suppose that the solution \( x = (x_i)_{i=1,\dots,n} \) to the system of linear equations \( (A+I)x=\pmb{1} \) is non-negative, i.e., \( x_i \ge 0 \) for \( i=1,\dots,n \). Define \( f(t) = \frac{e^t + 1}{e^t - 1} \). Is the solution \( x \) to the system of linear equations \( (A+f(t)I)x=\pmb{1} \) non-negative for every \( t>0 \)?",Yes
13126,"Let \( \alpha \) denote \( \cos^{-1}(\tfrac 23) \). The recursive sequence \( a_0,a_1,a_2,\ldots \) satisfies \( a_0 = 1 \) and, for all positive integers \( n \), \[ a_n = \dfrac{\cos(n\alpha) - (a_1a_{n-1} + \cdots + a_{n-1}a_1)}{2a_0}. \] Suppose that the series \[ \sum_{k=0}^\infty\dfrac{a_k}{2^k} \] can be expressed uniquely as \( \tfrac{p\sqrt q}r \), where \( p \) and \( r \) are coprime positive integers and \( q \) is not divisible by the square of any prime. Find the value of \( p+q+r \).",23
13127,Find the remainder when \(3^{2^{2016}} - 1\) is divided by \(2^{2019}\).,2^{2018}
13128,"Let $f \in L^1(\mathbb{R}) \cap C(\mathbb{R})$, meaning $f$ is integrable and continuous. For $z \in \mathbb{C}$ with $\text{Im}(z) \neq 0$, define
\[ g(z) = \int_{-\infty}^\infty \frac{f(t)}{t-z} \, dt. \]
Find \( \lim_{\text{Im}(z) \to 0} \left( g(z) - g(\bar{z}) \right) \).",2\pi i f(x)
13129,"Calculate the integral \( \int_{S^{n-1}} x_1x_2 \, dS \), where \( S^{n-1} \) is the \( n-1 \) dimensional sphere in \( \mathbb{R}^n \).",0
13130,"Evaluate the integral \( I = \int_0^1 \log \Gamma(x) \cos (2\pi n x)\, dx \).",\dfrac{1}{4n}
13131,Identify a non-algebraically closed field of characteristic 2 in which the equation \( z^2 + f = 0 \) has no solution.,\mathbb{F}_2(t)
13132,"Find all positive integer triples \((a, b, c)\) such that:
\[ ab + c = \gcd(a^2, b^2) + \gcd(a, bc) + \gcd(b, ac) + \gcd(c, ab) = 239^2 \]","(238, 238, 477)"
13133,"Find the value of \( f\left(f\left(4444^{4444^{4444}}\right)\right) \), where \( f(n) \) is the sum of the decimal digits of \( n \).",7
13134,Find the value of the real number \( \alpha \) such that \( \exp(2B(t) - \alpha t) \) is a martingale.,2
13135,"Evaluate the limit of the integral:
\[ \lim_{n\to\infty}\int_A{(|x|(1-|x|))^{(1/n)}\arctan(ny)\over{1+x^2+y^2}} \,dx\,dy, \]
where
\[ A = \left\lbrace w\in \mathbb{R}^2: |w|\le \sin(3\cdot \angle(w,e_1)) \right\rbrace, \]
and $e_1=(0,1)\in \mathbb{R}^2$. Use Lebesgue's theorem to find the limit.",0
13136,"Given a complex square matrix with 1s on the main diagonal and arbitrary values elsewhere, does its column space necessarily contain a vector in which each component is nonzero?",Yes
13137,"Let $(X, \mathcal{M}, \mu)$ be a measure space. Let $f$ be measurable on $X$, and $E \in \mathcal{M}$. If $\int_E f \, d\mu = \infty$, is it true that either $f$ is unbounded on $E$ or $\mu(E) = \infty$? Answer with 'yes' or 'no' and justify your answer.",yes
13138,"In a Markov chain with infinite states, where the transition probabilities are given by $p_{0,1}=1$ and $p_{i,i+1}=p_{i,i-1}=0.5$ for $i \geq 1$, calculate the expected time to reach state $n$ starting from state $x$, given that $0<x<n$. Provide your answer as a single numerical value.",n^2 - x^2
13139,"Is there an infinite graph $G = (\omega, E)$ on the vertex set $\omega$ such that every vertex has infinite degree, but $G$ has no perfect matching?",Yes
13140,Find the correct value of the integral: $$\int_0^{\pi/2}\frac{\cosh[a \cos x]\cos[a\sin x]}{\cosh[2a\cos x]+\cos[a\sin x]}dx.$$,\dfrac{\pi}{4}
13141,"Given a complete normed vector space $X$ and the mapping \(\exp:\mathcal{L}(X;X)\rightarrow \mathcal{L}(X;X)\) defined as \(\exp A:=E+\frac{1}{1!}A+\frac{1}{2!}A^2+\cdots + \frac{1}{n!}A^n+\cdots,\) where \(E\) denotes the identity matrix, determine whether the matrix \(U=\begin{pmatrix} -1 & 0\\ 1&-1 \end{pmatrix}\) can be expressed as \(\exp(A)\) for some \(2\times 2\) complex matrix \(A\).",Yes
13142,"Determine whether there exist functions that belong to $L^p(X)$ for all $p \in [1,\infty)$ but not to $L^q(X)$ for any $q > \infty$. Provide a justification for your answer.",Yes
13143,"Find the greatest common divisor (gcd) of $3 + \sqrt{13}$ and $2 + 5\sqrt{13}$ in the ring $\mathbb{Z}[(1+\sqrt{13})/2]$. Express your answer in the form $a + b\sqrt{13}$, where $a$ and $b$ are integers.",1
13144,Calculate the value of the infinite series: \[ \sum_{k=1}^{\infty}\operatorname{arccot}\frac{1-k^2+k^4}{2k} \],\dfrac{\pi}{2}
13145,"Determine whether there exists a continuous, strictly increasing function \( f: [0,1]\rightarrow [0,1] \) that satisfies the following conditions:
1. \( f(0) = 0 \) and \( f(1) = 1 \).
2. The derivative \( f' \) does not exist, is not continuous, or is infinite on any interval \( A\subset [0,1] \).
3. There exists a dense subset \( B\subset [0,1] \) where the derivative \( f' \) exists, is finite, and positive.",Yes
13146,Evaluate the limit: $$\lim\limits_{n\rightarrow \infty} \frac{1}{n^3}\ln \left( \frac{(n!)^n}{(1!2!...n!)^3} \right)$$,0
13147,"For which integer value of \( a \) does the ratio \( \frac{I_1}{I_0} = \frac{3\sqrt{2}}{4} \), where \( I_0 = \iiint_G \,dx\,dy\,dz \) and \( I_1 = \iiint_G z\,dx\,dy\,dz \), and the region \( G \) is defined as \( G = \{ (x,y,z) : x^2 + y^2 + z^2 \leq a^2, 0 \leq z \leq \sqrt{x^2 + y^2} \} \)?",4
13148,"Let \( \mathbb{F} \) be a field and \( \mathbb{K} \) its algebraic closure. Consider the polynomials \( p_1, p_2, \ldots, p_k \in \mathbb{F}[x_1, \ldots, x_n] \) such that the ideal they generate in \( \mathbb{F}[x_1, \ldots, x_n] \) is proper. Is the ideal generated by \( p_1, p_2, \ldots, p_k \) in \( \mathbb{K}[x_1, \ldots, x_n] \) also proper?",Yes
13149,Determine whether there exist fields $F$ and $K$ such that every element in $F$ has zero trace relative to $K$. Provide a justification for your answer.,Yes
13150,Let $A$ be an abelian subgroup of a finite group $G$. Assume that $G$ is generated by the sets $A$ and $g^{-1}Ag$ for some element $g$ in $G$. Does it follow that $G = Ag^{-1}Ag$?,No
13151,Determine the form of the polynomial $P(x) \in \mathbb{R}[x]$ that satisfies the equation \( P(x) \cdot P(y) = P\left(\frac{x+y}{2}\right)^2 - P\left(\frac{x-y}{2}\right)^2 \) for all real numbers $x$ and $y$. Provide your answer in terms of $P(x)$. ,P(x) = ax
13152,Find the residue of the function \( f(z) = e^{e^{\frac{1}{z}}} \) at \( z = 0 \).,e
13153,"Calculate the sum \( \sum_{w\in S_n}(-1)^{l(w)}n^{l(w)} \), where \( l(w) \) is the number of cycles in the permutation \( w \) from the symmetric group \( S_n \).",(-1)^n n!
13154,"Let $f_n:[0,1]\rightarrow \mathbb{R}$ be functions for $n\in\mathbb{N}$ such that (1) for some $M>0$, $\vert f_n\vert_{L_\infty([0,1])}\leq M$ for all $n\in\mathbb{N}$ and (2) $(f_n)$ weakly converges to some $f$ in $L_2([0,1])$. Determine whether it is true that for almost all $x\in[0,1]$, $f(x)\in[\liminf \, f_n(x),\limsup \,f_n(x)]$. Provide a justification for your answer.",True
13155,"Let E be a subset of \( \mathbb{R} \) that has no isolated points, and let C be a countable subset of \( \mathbb{R} \). Does there exist a monotonic function on E that is continuous only at points in \( E \setminus C \)?",Yes
13156,Let $A$ be a real $n \times n$ matrix such that $A^3 = A + I$. Prove that $\det A > 0$. \(I\) is the identity matrix.,\det A > 0
13157,"Evaluate the limit: \[ \lim_{x \to \infty} \frac{1}{\sqrt{1+|x|}} \, \frac{1}{\big(\operatorname{dist}(x,S)\big)^{2}} \] where the sequence of pairs \(S=\left\{\left(n, \frac{-1}{\sqrt{n}}\right)\right\}_{n=1}^{\infty}\) is given in the \(xy\)-plane, and \(\operatorname{dist}(x,S)\) denotes the distance between the point \(x\) and the set \(S\), defined by \(\operatorname{dist}(x,S)=\inf\limits_{a_{n}\in S}\operatorname{dist} (x,a_{n})\). The distance between any two points \(P=(x_{1},y_{1})\) and \(Q=(x_{2},y_{2})\) is given by \(\operatorname{dist}(P,Q)=\sqrt{(x_{1}-x_{2})^{2}+(y_{1}-y_{2})^{2}}\).",0
13158,"Find the smallest real number \( A \) such that for any cubic polynomial \( f(x) \) satisfying \( |f(x)| \leq 1 \) for all \( x \in [0, 1] \), the inequality \( |f'(0)| \leq A \) holds.",18
13159,"Let \( \alpha \) be a path in the Euclidean plane \( \mathbb{R}^2 \). Let \( A, B \) be distinct connected components of \( \mathbb{R}^2 \setminus \operatorname{Im}\alpha \). Let \( \beta \) be a path in \( B \). Let \( C \) be a connected component of \( \mathbb{R}^2 \setminus \operatorname{Im}\beta \). Is it necessarily the case that either \( A \cap C = \emptyset \) or \( A \subseteq C \)? Justify your answer.",Yes
13160,Determine whether there exist nonelementary functions $F$ and elementary functions $E$ such that the composition $E(F(x))$ is elementary.,Yes
13161,Let \(f:\mathbb{R}\rightarrow\mathbb{R}\) be a function of class \(C^\infty\). Suppose that \(f\left(\frac{1}{n}\right)=\frac{n^3}{n^3+2}\) for all positive integers \(n\). Determine the value of \(f^{(4)}(0)\).,0
13162,"Consider an uncountable set $X$ and a non-negative function $f$ defined on $X$. If the sum of $f(x)$ over all $x \in X$ is infinite, is it always possible to find a countable subset $Y \subseteq X$ such that the sum of $f(x)$ over all $x \in Y$ is also infinite?",Yes
13163,Find the residues of the function \( f(z) = \frac{1}{(e^{z}-1)^{2}} \) at its poles.,-1
13164,"In a general topological space, can a point be a limit point of a sequence without any subsequence converging to it?",Yes
13165,"Let $\gamma$ be a smooth curve in $M:= \mathbb{R}^2 \setminus \{(0,0)\}$ that goes once around the origin, and assume that the image of $\gamma$, denoted by $N$, is a submanifold of $M$. Endow $N$ with the counterclockwise orientation. Compute $\int_N i^* \alpha$ where $\alpha = \frac{xdy-ydx}{x^2 + y^2}$ and $i: N \to M$ is the inclusion.",2\pi
13166,"Consider a matrix $A$ on $\mathbb{C}^n$ with one simple eigenvalue zero and all other eigenvalues having strictly negative real part. Let $v$ be the eigenvector corresponding to the eigenvalue $0$, and let $V$ be a subspace of $\mathbb{C}^n$ such that $v \notin V$ and $AV \subset V$. Does this imply that all eigenvalues of $A$ restricted to $V$ have strictly negative real part?",Yes
13167,"Evaluate the limit: \[ \lim_{(x,y)\to(0,0)} \frac{\sin x - \sinh x}{2x^2 + y^2 - xy} \ln(x^2 + y^2) \]",0
13168,"For a holomorphic function $f$, define $h(z)=\sin(f(z^2))$. Calculate the residue of $h(z)$ at $z=0$ in terms of $f(0)$ and $f'(0)$. Express your answer as a single complex number.",0
13169,Determine the convergence rate of Newton's method when the slope is not updated in each iteration.,1
